inventory_item_id,location_id,available,updated_at
49592716230965,95391711541,1,2024-05-15T15:53:06+08:00
49592716263733,95391711541,0,2024-05-15T15:53:05+08:00
49592716296501,95391711541,0,2024-05-15T15:53:06+08:00
49661765386549,95391711541,6,2024-05-15T17:27:40+08:00
49661765419317,95391711541,5,2024-05-15T17:27:40+08:00
49661765452085,95391711541,1,2024-05-15T12:27:16+08:00
49661765550389,95391711541,3,2024-05-15T16:37:50+08:00
49661765583157,95391711541,0,2024-05-15T16:05:33+08:00
49661765615925,95391711541,0,2024-05-15T16:05:32+08:00
